scientific_name,park_name,observations,category,common_names,conservation_status
Gratiola neglecta,Great Smoky Mountains National Park,67,Vascular Plant,"Clammy Hedge-Hyssop, Hedge-Hyssop",
Gratiola neglecta,Great Smoky Mountains National Park,67,Vascular Plant,"Clammy Hedgehyssop, Clammy Hedge-Hyssop, Drug Hedgehyssop, Hedge Hyssop, Neglected Hedgehyssop",
Fimbristylis autumnalis,Great Smoky Mountains National Park,91,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",
Carpinus caroliniana,Yosemite National Park,132,Vascular Plant,"American Hornbeam, American Hornbean",
Epilobium lactiflorum,Bryce National Park,88,Vascular Plant,"Broadleaf Willowweed, Milkflower Willowherb, White-Flower Willowherb",
Sceloporus graciosus graciosus,Yosemite National Park,137,Reptile,Northern Sagebrush Lizard,Species of Concern
Pseudotriton ruber ruber,Yellowstone National Park,243,Amphibian,Northern Red Salamander,
Ribes amarum,Bryce National Park,106,Vascular Plant,Bitter Gooseberry,
Pekania pennanti,Great Smoky Mountains National Park,43,Mammal,Fisher,
Carex debilis var. debilis,Yosemite National Park,167,Vascular Plant,White Edge Sedge,
Scolopax minor,Great Smoky Mountains National Park,60,Bird,American Woodcock,
Alces alces,Yosemite National Park,161,Mammal,"Eurasian Elk, Moose",
Ruellia humilis,Great Smoky Mountains National Park,43,Vascular Plant,Hairy Wild-Petunia,
Sialia currucoides,Great Smoky Mountains National Park,71,Bird,Mountain Bluebird,
Minuartia californica,Yellowstone National Park,222,Vascular Plant,California Sandwort,
Mimulus nanus,Bryce National Park,132,Vascular Plant,Dwarf Purple Monkeyflower,
Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
Spiranthes vernalis,Bryce National Park,106,Vascular Plant,"Early Lady's Tresses, Grassleaf Ladies'-Tresses",
Rumex paucifolius,Yosemite National Park,120,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",
Rorippa curvisiliqua,Yellowstone National Park,223,Vascular Plant,Curvepod Yellowcress,
Carex tiogana,Bryce National Park,87,Vascular Plant,Tioga Pass Sedge,
Ludwigia peploides ssp. glabrescens,Yosemite National Park,138,Vascular Plant,Floating Primrosewillow,
Microtus longicaudus,Yellowstone National Park,218,Mammal,"Coronation Island Vole, Long-Tailed Vole",
Microtus longicaudus,Yellowstone National Park,218,Mammal,Long-Tailed Vole,
Brassica kaber,Yosemite National Park,150,Vascular Plant,"Canola, Charlock Mustard, Kaber Mustard, Rapeseed, Wild Mustard",
Cyprinella spilopterus,Bryce National Park,80,Fish,Spotfin Shiner,
Trillium erectum,Great Smoky Mountains National Park,101,Vascular Plant,"Ill-Scent Trillium, Wake Robin",
Saxifraga oppositifolia,Great Smoky Mountains National Park,65,Vascular Plant,"Purple Mountain Saxifrage, Purple Saxifrage",
Setophaga nigrescens,Yellowstone National Park,248,Bird,Black-Throated Gray Warbler,
Geothlypis trichas,Yosemite National Park,181,Bird,Common Yellowthroat,
Camissonia luciae,Yosemite National Park,107,Vascular Plant,Santa Lucia Suncup,
Polygonum caespitosum var. longisetum,Yellowstone National Park,234,Vascular Plant,"Oriental Lady's Thumb, Oriental Ladysthumb",
Lysimachia tonsa,Yellowstone National Park,239,Vascular Plant,"Smooth Loosestrife, Southern Loosestrife",
Phalaropus lobatus,Yellowstone National Park,219,Bird,Red-Necked Phalarope,
Asplenium resiliens,Bryce National Park,85,Vascular Plant,"Black-Stem Spleenwort, Black-Stemmed Spleenwort",
Heterotheca grandiflora,Bryce National Park,99,Vascular Plant,"Telegraph Weed, Telegraphweed",
Tephrosia spicata,Bryce National Park,86,Vascular Plant,"Spike Goat's Rue, Spiked Hoary-Pea",
Diodia virginiana,Bryce National Park,87,Vascular Plant,"Larger Button-Weed, Virginia Buttonweed",
Erigeron eatonii var. sonnei,Great Smoky Mountains National Park,75,Vascular Plant,Eaton's Fleabane,
Madia elegans ssp. elegans,Yosemite National Park,141,Vascular Plant,Common Madia,
Belamcanda chinensis,Yellowstone National Park,249,Vascular Plant,Blackberry Lily,
Pylaisiella selwynii,Bryce National Park,89,Nonvascular Plant,Selwyn's Pylaisiella Moss,
Paulownia tomentosa,Yosemite National Park,168,Vascular Plant,"Princess Tree, Royal Paulownia",
Gavia stellata,Yellowstone National Park,204,Bird,"Red-Throated Diver, Red-Throated Loon",
Vaccaria hispanica,Yellowstone National Park,245,Vascular Plant,"Cow Soapwort, Cowcockle, Field Vaccaria",
Dichanthelium longiligulatum,Bryce National Park,116,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",
Dryopteris intermedia,Great Smoky Mountains National Park,87,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern",
Anemone tetonensis,Yellowstone National Park,239,Vascular Plant,Teton Anemone,
Helianthus tuberosus,Great Smoky Mountains National Park,76,Vascular Plant,"Jerusalem Artichoke, Sunflower",
Tiarella cordifolia var. cordifolia,Yosemite National Park,162,Vascular Plant,Foamflower,
Carex louisianica,Yosemite National Park,147,Vascular Plant,Louisiana Sedge,
Aphelocoma californica,Yellowstone National Park,278,Bird,Western Scrub-Jay,
Ambrosia psilostachya,Yosemite National Park,186,Vascular Plant,"Cuman Ragweed, Perennial Ragweed, Western Ragweed",
Eremophila alpestris,Great Smoky Mountains National Park,97,Bird,Horned Lark,
Deschampsia cespitosa ssp. cespitosa,Great Smoky Mountains National Park,104,Vascular Plant,Tufted Hairgrass,
Ulmus americana,Great Smoky Mountains National Park,54,Vascular Plant,American Elm,
Veronica cusickii,Yosemite National Park,128,Vascular Plant,Cusick's Speedwell,
Cordylanthus rigidus ssp. brevibracteatus,Great Smoky Mountains National Park,68,Vascular Plant,Stiffbranch Bird's Beak,
Hypentelium nigricans,Bryce National Park,110,Fish,Northern Hog Sucker,
Carex oligocarpa,Yosemite National Park,158,Vascular Plant,Sedge,
Trifolium hybridum,Yellowstone National Park,247,Vascular Plant,Alsike Clover,
Bassia hyssopifolia,Great Smoky Mountains National Park,76,Vascular Plant,"Fivehook Bassia, Fivehorn Smotherweed, Smotherweed",
Erigeron ochroleucus var. ochroleucus,Yosemite National Park,143,Vascular Plant,Buff Fleabane,
Epilobium angustifolium ssp. circumvagum,Bryce National Park,122,Vascular Plant,Fireweed,
Silene latifolia,Bryce National Park,115,Vascular Plant,"Bladder Campion, Bladder-Campion",
Philomachus pugnax,Great Smoky Mountains National Park,86,Bird,Ruff,
Aegolius funereus,Bryce National Park,73,Bird,Boreal Owl,
Daucus carota,Great Smoky Mountains National Park,76,Vascular Plant,"Queen Anne's Lace, Wild Carrot",
Daucus carota,Great Smoky Mountains National Park,76,Vascular Plant,"Bird's Nest, Queen Anne's Lace, Wild Carrot",
Asio otus,Bryce National Park,94,Bird,Long-Eared Owl,Species of Concern
Senecio obovatus,Yosemite National Park,115,Vascular Plant,"Round-Leaf Groundsel, Spatulate-Leaved Ragwort",
Penstemon heterodoxus var. heterodoxus,Bryce National Park,96,Vascular Plant,Sierra Beardtongue,
Poa reflexa,Bryce National Park,77,Vascular Plant,Nodding Bluegrass,
Isoetes macrospora,Yellowstone National Park,237,Vascular Plant,Lake Quillwort,
Cryptotis parva,Great Smoky Mountains National Park,68,Mammal,Least Shrew,
Draba crassa,Bryce National Park,74,Vascular Plant,Thickleaf Draba,
Carex brunnescens ssp. brunnescens,Great Smoky Mountains National Park,56,Vascular Plant,Brownish Sedge,
Lolium multiflorum,Bryce National Park,126,Vascular Plant,"Annual Ryegrass, Italian Ryegrass",
Populus nigra,Great Smoky Mountains National Park,52,Vascular Plant,Lombardy Poplar,
Elymus trachycaulus ssp. trachycaulus,Great Smoky Mountains National Park,57,Vascular Plant,Slender Wheatgrass,
Carphophis amoenus helenae,Yellowstone National Park,214,Reptile,Midwest Worm Snake,
Salix bebbiana,Yosemite National Park,159,Vascular Plant,"Bebb's Willow, Gray Willow",
Oxalis violacea,Great Smoky Mountains National Park,92,Vascular Plant,Violet Wood-Sorrel,
Oxalis violacea,Great Smoky Mountains National Park,92,Vascular Plant,"Purple Woodsorrel, Violet Woodsorrel, Violet Wood-Sorrel",
Malacothrix floccifera,Bryce National Park,107,Vascular Plant,"Woolly Desertdandelion, Wooly Desert Dandelion",
Dichanthelium acuminatum,Yellowstone National Park,235,Vascular Plant,"Hotsprings Panicum, Hotsprings Rosette Grass, Tapered Rosette Grass",
Castilleja applegatei,Bryce National Park,114,Vascular Plant,"Pine Indian Paintbrush, Wavyleaf Indian Paintbrush, Wavyleaf Paintbrush",
Potentilla nivea,Bryce National Park,77,Vascular Plant,"Snow Cinquefoil, Snowy Cinquefoil",
Pituophis melanoleucus melanoleucus,Yellowstone National Park,191,Reptile,Northern Pine Snake,Species of Concern
Coreopsis pubescens,Bryce National Park,42,Vascular Plant,"Hairy Tickseed, Star Tickseed",
Brickellia eupatorioides var. eupatorioides,Great Smoky Mountains National Park,88,Vascular Plant,False Boneset,
Cirsium vulgare,Yellowstone National Park,249,Vascular Plant,Bull Thistle,
Cirsium vulgare,Yellowstone National Park,249,Vascular Plant,"Bull Thistle, Common Thistle, Spear Thistle",
Sisyrinchium atlanticum,Great Smoky Mountains National Park,88,Vascular Plant,"Atlantic Blue-Eyed Grass, Eastern Blue-Eyed-Grass",
Cornus sericea,Great Smoky Mountains National Park,69,Vascular Plant,"Redosier, Redosier Dogwood",
Cytisus scoparius,Yosemite National Park,116,Vascular Plant,"Scotch Broom, Scotch-Broom",
Icterus parisorum,Great Smoky Mountains National Park,76,Bird,Scott's Oriole,
Lysimachia tonsa,Yosemite National Park,110,Vascular Plant,"Smooth Loosestrife, Southern Loosestrife",
Tephrosia spicata,Yosemite National Park,176,Vascular Plant,"Spike Goat's Rue, Spiked Hoary-Pea",
Monarda clinopodia,Yosemite National Park,123,Vascular Plant,"Basal Bee-Balm, Horse-Mint",
Carex vernacula,Bryce National Park,112,Vascular Plant,"Native Sedge, Spring Sedge",
Amblystegium serpens,Yosemite National Park,123,Nonvascular Plant,Amblystegium Moss,
Castilleja miniata,Yellowstone National Park,317,Vascular Plant,"Giant Red Indian Paintbrush, Great Red Indian Paintbrush, Great Red Indian-Paintbrush, Scarlet Indian Paintbrush, Scarlet Paintbrush",
Doellingeria umbellata var. umbellata,Great Smoky Mountains National Park,72,Vascular Plant,Parasol Whitetop,
Pica nuttalli,Yosemite National Park,117,Bird,Yellow-Billed Magpie,Species of Concern
Arnica latifolia,Yosemite National Park,171,Vascular Plant,Broadleaf Arnica,
Scutellaria siphocampyloides,Yellowstone National Park,252,Vascular Plant,Grayleaf Skullcap,
Aquila chrysaetos,Yellowstone National Park,183,Bird,Golden Eagle,Species of Concern
Rhamnus alnifolia,Yosemite National Park,134,Vascular Plant,"Alderleaf Buckthorn, Alder-Leaf Buckthorn",
Felis silvestris,Bryce National Park,103,Mammal,"Wild Cat, Wildcat",
Carex projecta,Yellowstone National Park,250,Vascular Plant,"Necklace Sedge, Sedge",
Cistothorus palustris,Yellowstone National Park,240,Bird,Marsh Wren,
Blindia acuta,Yosemite National Park,149,Nonvascular Plant,Acute Blindia Moss,
Agalinis setacea,Great Smoky Mountains National Park,82,Vascular Plant,"Narrow-Leaved Gerardia, Thread-Leaved Gerardia",
Veronica scutellata,Great Smoky Mountains National Park,86,Vascular Plant,"Grassleaf Speedwell, Grass-Leaf Speedwell, Marsh Speedwell, Skullcap Speedwell",
Hypnum lindbergii,Yellowstone National Park,237,Nonvascular Plant,Lindberg's Hypnum Moss,
Solidago patula,Bryce National Park,136,Vascular Plant,"Rough-Leaved Goldenrod, Roundleaf Goldenrod",
Aegilops cylindrica,Great Smoky Mountains National Park,66,Vascular Plant,Jointed Goatgrass,
Campanula rotundifolia,Bryce National Park,122,Vascular Plant,"Bluebell, Bluebell Bellflower, Bluebell-Of-Scotland, Roundleaf Harebell",
Minuartia nuttallii,Great Smoky Mountains National Park,93,Vascular Plant,Nuttall's Sandwort,
Solidago arguta var. arguta,Yellowstone National Park,240,Vascular Plant,Atlantic Goldenrod,
Amelanchier laevis,Yosemite National Park,200,Vascular Plant,"Allegheny Serviceberry, Allegheny Service-Berry",
Melospiza georgiana,Great Smoky Mountains National Park,40,Bird,Swamp Sparrow,
Synandra hispidula,Yosemite National Park,168,Vascular Plant,"Gyandotte Beauty, Synandra",
Vicia villosa ssp. villosa,Yosemite National Park,141,Vascular Plant,Hairy Vetch,
Felis concolor,Great Smoky Mountains National Park,72,Mammal,Mountain Lion,
Allium cernuum,Yellowstone National Park,236,Vascular Plant,Nodding Onion,
Hulsea algida,Yosemite National Park,172,Vascular Plant,"Alpine Hulsea, Pacific Hulsea",
Erigeron ursinus,Yosemite National Park,171,Vascular Plant,"Bear Daisy, Bear River Fleabane",
Malacothrix floccifera,Yellowstone National Park,259,Vascular Plant,"Woolly Desertdandelion, Wooly Desert Dandelion",
Consolida ajacis,Great Smoky Mountains National Park,66,Vascular Plant,Garden Larkspur,
Hieracium aurantiacum,Yellowstone National Park,265,Vascular Plant,Orange Hawkweed,
Cucurbita pepo,Great Smoky Mountains National Park,54,Vascular Plant,Field Pumpkin,
Euphorbia mercurialina,Bryce National Park,84,Vascular Plant,Mercury Spurge,
Tragopogon dubius,Great Smoky Mountains National Park,77,Vascular Plant,"Common Salsify, Goat's Beard, Goatsbeard, Meadow Goat's-Beard, Salsifis Majeur, Salsify, Western Goat's Beard, Western Salsify, Wild Oysterplant, Yellow Goat's Beard, Yellow Salsify",
Agrostis idahoensis,Yosemite National Park,144,Vascular Plant,"Idaho Bentgrass, Idaho Redtop",
Carex corrugata,Bryce National Park,101,Vascular Plant,Prune-Fruit Sedge,
Cyperus retrorsus,Bryce National Park,143,Vascular Plant,"Retrorse Flatsedge, Umbrella-Sedge",
Sanicula canadensis,Yellowstone National Park,232,Vascular Plant,"Canada Black Snakeroot, Short-Styled Sanicle",
Stellaria pubera,Bryce National Park,115,Vascular Plant,"Giant Chickweed, Star Chickweed",
Matricaria discoidea,Yellowstone National Park,232,Vascular Plant,"Disc Mayweed, Pineapple-Weed Chamomile",
Thalictrum fendleri,Yellowstone National Park,276,Vascular Plant,"Fendler's Meadowrue, Fendler's Meadow-Rue",
Gentiana linearis,Yellowstone National Park,246,Vascular Plant,"Linear-Leaved Gentian, Narrow-Leaved Gentian",
Botrychium virginianum,Great Smoky Mountains National Park,55,Vascular Plant,Rattlesnake Fern,
Botrychium virginianum,Great Smoky Mountains National Park,55,Vascular Plant,"Common Grapefern, Rattlesnake Fern",
Nucifraga columbiana,Great Smoky Mountains National Park,89,Bird,Clark's Nutcracker,
Bartramia longicauda,Yosemite National Park,131,Bird,Upland Sandpiper,Species of Concern
Nassella viridula,Yellowstone National Park,270,Vascular Plant,Green Needlegrass,
Dianthus barbatus,Bryce National Park,110,Vascular Plant,"Sweet William, Sweet-William",
Dianthus barbatus,Bryce National Park,110,Vascular Plant,Sweetwilliam,
Achnatherum occidentale,Bryce National Park,106,Vascular Plant,Western Needlegrass,
Eupatorium maculatum,Bryce National Park,89,Vascular Plant,"Joe-Pye-Weed, Spotted Joe-Pye Weed",
Smilax glauca,Bryce National Park,82,Vascular Plant,"Glaucous Catbrier, Glaucous-Leaved Greenbrier",
Rubus flagellaris,Yosemite National Park,188,Vascular Plant,Northern Dewberry,
Lithospermum incisum,Bryce National Park,102,Vascular Plant,"Fringed Gromwell, Fringed Puccoon, Narrowleaf Gromwell, Narrowleaf Pucoon, Narrowleaf Stoneseed, Trumpet Stoneseed",
Calandrinia ciliata,Great Smoky Mountains National Park,106,Vascular Plant,"Desert Rockpurslane, Fringed Redmaids, Redmaids",
Carex amphibola var. rigida,Great Smoky Mountains National Park,66,Vascular Plant,"A Sedge, Rigid Sedge",
Gentiana villosa,Yosemite National Park,158,Vascular Plant,"Hairy Gentian, Striped Gentian",
Oreothlypis ruficapilla,Bryce National Park,111,Bird,Nashville Warbler,
Melanerpes lewis,Yellowstone National Park,255,Bird,"Lewis' Woodpecker, Lewis's Woodpecker",
Melanerpes lewis,Yellowstone National Park,255,Bird,Lewis's Woodpecker,
Osmorhiza claytonii,Great Smoky Mountains National Park,79,Vascular Plant,"Hairy Sweet-Cicely, Sweet Cicely",
Utricularia minor,Yellowstone National Park,242,Vascular Plant,Lesser Bladderwort,
Peromyscus leucopus,Yellowstone National Park,251,Mammal,White-Footed Mouse,
Penstemon roezlii,Yellowstone National Park,251,Vascular Plant,Roezl's Penstemon,
Galium concinnum,Yellowstone National Park,256,Vascular Plant,Shining Bedstraw,
Triodanis perfoliata var. perfoliata,Yosemite National Park,180,Vascular Plant,Venus? Looking-Glass,
Potamogeton strictifolius,Yosemite National Park,179,Vascular Plant,"Narrowleaf Pondweed, Straight-Leaf Pondweed",
Crepis atribarba,Yellowstone National Park,265,Vascular Plant,"Hawksbeard, Slender Hawksbeard",
Stephanomeria lactucina,Yellowstone National Park,281,Vascular Plant,"Creeping Wirelettuce, Lettuce Wirelettuce",
Cordylanthus tenuis ssp. tenuis,Great Smoky Mountains National Park,78,Vascular Plant,"Slender Bird's Beak, Slender Bird'sbeak",
Salix discolor,Yellowstone National Park,251,Vascular Plant,Pussy Willow,
Bazzania tricrenata,Yellowstone National Park,265,Nonvascular Plant,Bazzania,
Sisymbrium officinale,Yosemite National Park,146,Vascular Plant,"Hairy-Pod Hedgemustard, Hedge-Mustard",
Sisymbrium officinale,Yosemite National Park,146,Vascular Plant,"Hairypod Hedgemustard, Hedge Mustard, Hedge Tumblemustard, Hedgemustard, Hedge-Mustard, Hedgeweed, Wild Mustard",
Saccharum giganteum,Yosemite National Park,156,Vascular Plant,"Sugar Cane Plumegrass, Tall Beardgrass",
Phasianus colchicus,Bryce National Park,148,Bird,"Common Pheasant, Ring-Necked Pheasant",
Physalis longifolia var. subglabrata,Bryce National Park,135,Vascular Plant,Smooth Ground-Cherry,
Salix planifolia ssp. planifolia,Yellowstone National Park,242,Vascular Plant,"Diamondleaf Willow, Tealeaf Willow",
Andropogon ternarius,Yosemite National Park,136,Vascular Plant,Silver Bluestem,
Sagittaria latifolia,Yosemite National Park,136,Vascular Plant,"Broadleaf Arrowhead, Common Arrowhead, Duck-Potato, Wapato",
Gastrophryne carolinensis,Bryce National Park,88,Amphibian,Eastern Narrow-Mouthed Toad,
Vulpia microstachys var. confusa,Yellowstone National Park,238,Vascular Plant,Confusing Fescue,
Ipomopsis aggregata var. aggregata,Bryce National Park,98,Vascular Plant,Scarlet Gilia,
Didelphis virginiana,Bryce National Park,105,Mammal,"Virginia Opossum, Virginia Oppossum",
Didelphis virginiana,Bryce National Park,105,Mammal,Virginia Opossum,
Gaillardia aristata,Yosemite National Park,167,Vascular Plant,"Common Gaillardia, Gaillardia, Great Blanket-Flower",
Geum virginianum,Bryce National Park,85,Vascular Plant,"Pale Avens, Small-Flowered Avens",
Lupinus bicolor,Yellowstone National Park,274,Vascular Plant,"Bicolor Lupine, Miniature Lupine",
Oreamnos americanus,Yosemite National Park,137,Mammal,"Mountain Goat, Mountain Goat, Rocky Mountain Goat",
Sparganium angustifolium,Yellowstone National Park,264,Vascular Plant,"Narrowleaf Burr Reed, Narrowleaf Burreed, Narrowleaf Bur-Reed",
Rosa palustris,Great Smoky Mountains National Park,105,Vascular Plant,Swamp Rose,
Thalictrum occidentale,Yosemite National Park,123,Vascular Plant,"Western Meadowrue, Western Meadow-Rue",
Eupatorium hyssopifolium,Great Smoky Mountains National Park,91,Vascular Plant,"Hyssopleaf Thoroughwort, Narrow-Leaved Snakeroot",
Sidalcea reptans,Yellowstone National Park,251,Vascular Plant,Sierra Checkerbloom,
Calamintha nepeta,Yosemite National Park,130,Vascular Plant,Lesser Calamint,
Raillardella argentea,Bryce National Park,84,Vascular Plant,"Silky Raillardella, Silvermat",
Adlumia fungosa,Great Smoky Mountains National Park,53,Vascular Plant,Climbing Fumitory,
Riparia riparia,Bryce National Park,91,Bird,Bank Swallow,Species of Concern
Riparia riparia,Bryce National Park,91,Bird,"Bank Swallow, Sand Martin",Species of Concern
Ensatina eschscholtzii platensis,Bryce National Park,89,Amphibian,Sierra Nevada Ensatina,
Salix boothii,Yosemite National Park,107,Vascular Plant,"Blueberry Willow, Booth's Willow",
Sagittaria latifolia,Bryce National Park,129,Vascular Plant,"Broadleaf Arrowhead, Common Arrowhead, Duck-Potato, Wapato",
Erigeron pulchellus,Yosemite National Park,127,Vascular Plant,"Robin Plantain Fleabane, Robin's-Plantain",
Pachysandra procumbens,Bryce National Park,98,Vascular Plant,American Pachysandra,
Etheostoma percnurum,Yellowstone National Park,70,Fish,Duskytail Darter,Endangered
Mimulus alatus,Yosemite National Park,183,Vascular Plant,"Sharp-Wing Monkeyflower, Winged Monkey Flower",
Rana catesbeiana,Great Smoky Mountains National Park,81,Amphibian,American Bullfrog,
Rana catesbeiana,Great Smoky Mountains National Park,81,Amphibian,"American Bullfrog, Bullfrog",
Carex parryana var. parryana,Yellowstone National Park,250,Vascular Plant,Parry's Sedge,
Eragrostis capillaris,Great Smoky Mountains National Park,79,Vascular Plant,Fine Lovegrass,
Taricha sierrae,Yellowstone National Park,229,Amphibian,Sierra Newt,
Dicranella rufescens,Great Smoky Mountains National Park,78,Nonvascular Plant,Dicranella Moss,
Sphyrapicus ruber,Yosemite National Park,165,Bird,Red-Breasted Sapsucker,
Monotropa hypopithys,Bryce National Park,107,Vascular Plant,"American Pinesap, Pine-Sap",
Monotropa hypopithys,Bryce National Park,107,Vascular Plant,Pinesap,
Bidens vulgata,Yellowstone National Park,297,Vascular Plant,Big Devils Beggartick,
Scutellaria incana var. punctata,Bryce National Park,77,Vascular Plant,Hoary Skullcap,
Oncorhynchus mykiss aguabonita,Great Smoky Mountains National Park,67,Fish,California Golden Trout,
Trillium flexipes,Bryce National Park,79,Vascular Plant,Jennison's White Trillium,
Mustela frenata,Yellowstone National Park,252,Mammal,Long-Tailed Weasel,
Coreopsis tinctoria,Bryce National Park,86,Vascular Plant,"Coreopsis, Golden Tickseed",
Arabis inyoensis,Great Smoky Mountains National Park,45,Vascular Plant,Inyo Rockcress,
Desmognathus quadramaculatus,Great Smoky Mountains National Park,58,Amphibian,Black-Bellied Salamander,
Geum macrophyllum var. perincisum,Bryce National Park,82,Vascular Plant,"Largeleaf Avens, Large-Leaf Avens",
Perisoreus canadensis,Bryce National Park,108,Bird,"Gray Jay, Grey Jay",
Etheostoma camurum,Bryce National Park,104,Fish,Bluebreast Darter,
Sphagnum pylaesii,Bryce National Park,95,Nonvascular Plant,Pylaes' Sphagnum,
Podiceps nigricollis,Great Smoky Mountains National Park,92,Bird,"Black-Necked Grebe, Eared Grebe",
Podiceps nigricollis,Great Smoky Mountains National Park,92,Bird,Eared Grebe,
Carex praeceptorium,Yosemite National Park,148,Vascular Plant,Early Sedge,
Dichanthelium villosissimum var. villosissimum,Bryce National Park,57,Vascular Plant,Panic Grass,
Hieracium venosum,Yellowstone National Park,274,Vascular Plant,Rattlesnake Hawkweed,
Uvularia grandiflora,Yellowstone National Park,250,Vascular Plant,Large-Flowered Bellwort,
Zapus hudsonius,Yosemite National Park,152,Mammal,Meadow Jumping Mouse,
Androsace septentrionalis ssp. subumbellata,Great Smoky Mountains National Park,87,Vascular Plant,Pygmyflower Rockjasmine,
Platydictya confervoides,Great Smoky Mountains National Park,103,Nonvascular Plant,Platydictya Moss,
Canis lupus,Yosemite National Park,35,Mammal,Gray Wolf,Endangered
Canis lupus,Yosemite National Park,35,Mammal,"Gray Wolf, Wolf",In Recovery
Canis lupus,Yosemite National Park,35,Mammal,"Gray Wolf, Wolf",Endangered
Ambystoma maculatum,Yosemite National Park,163,Amphibian,Spotted Salamander,
Patagioenas fasciata,Bryce National Park,97,Bird,Band-Tailed Pigeon,Species of Concern
Packera werneriifolia,Yosemite National Park,159,Vascular Plant,Hoary Groundsel,
Calochortus albus,Yellowstone National Park,250,Vascular Plant,White Fairy-Lantern,
Rallus elegans,Yosemite National Park,140,Bird,King Rail,Species of Concern
Sceloporus graciosus,Great Smoky Mountains National Park,77,Reptile,Sagebrush Lizard,
Collomia tinctoria,Bryce National Park,81,Vascular Plant,"Staining Collomia, Yellowstain Collomia",
Passerculus sandwichensis,Bryce National Park,113,Bird,Savannah Sparrow,
Lysimachia hybrida,Bryce National Park,101,Vascular Plant,"Intermediate Loosestrife, Lance-Leaf Loosestrife",
Oxytropis lagopus var. lagopus,Yellowstone National Park,214,Vascular Plant,Haresfoot Locoweed,
Saxifraga odontoloma,Yosemite National Park,116,Vascular Plant,"Brook Saxifrage, Streambank Saxifrage",
Rhododendron occidentale,Yosemite National Park,171,Vascular Plant,"California Azalea, Sonoma Azalea, Western Azalea",
Perdix perdix,Yosemite National Park,162,Bird,"Gray Partridge, Grey Partridge",
Desmognathus santeetlah,Bryce National Park,71,Amphibian,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",
Mentzelia laevicaulis var. laevicaulis,Yosemite National Park,123,Vascular Plant,Smoothstem Blazingstar,
Lupinus nanus,Yosemite National Park,168,Vascular Plant,"Annual Lupine, Sky Lupine",
Passerella iliaca,Yosemite National Park,140,Bird,Fox Sparrow,
Passerella iliaca,Yosemite National Park,140,Bird,"Fox Sparrow, Red Fox Sparrow",
Coscinodon cribrosus,Great Smoky Mountains National Park,63,Nonvascular Plant,Coscinodon Moss,
Symphyotrichum spathulatum,Great Smoky Mountains National Park,72,Vascular Plant,Western Mountain Aster,
Symphoricarpos orbiculatus,Bryce National Park,107,Vascular Plant,"Coralberry, Coral-Berry",
Alopecurus carolinianus,Yosemite National Park,158,Vascular Plant,"Carolina Foxtail, Tufted Foxtail",
Erythronium americanum,Bryce National Park,102,Vascular Plant,"American Troutlily, Yellow Trout-Lily",
Papaver dubium,Yosemite National Park,194,Vascular Plant,Blindeyes,
Charina bottae,Yosemite National Park,135,Reptile,Rubber Boa,
Charina bottae,Yosemite National Park,135,Reptile,Northern Rubber Boa,
Bubo virginianus,Yosemite National Park,139,Bird,Great Horned Owl,
Schistidium rivulare,Yellowstone National Park,273,Nonvascular Plant,Streamside Schistidium Moss,
Allium amplectens,Yosemite National Park,167,Vascular Plant,Narrowleaf Onion,
Juncus confusus,Bryce National Park,71,Vascular Plant,Colorado Rush,
Potentilla recta,Bryce National Park,100,Vascular Plant,"Rough-Fruited Cinquefoil, Sulphur Cinquefoil",
Potentilla recta,Bryce National Park,100,Vascular Plant,"Erect Cinquefoil, Roughfruit Cinquefoil, Sulphur Cinquefoil",
Semotilus atromaculatus,Yellowstone National Park,255,Fish,Creek Chub,
Erigeron inornatus var. inornatus,Bryce National Park,83,Vascular Plant,"California Rayless Daisy, California Rayless Fleabane",
Carex athrostachya,Great Smoky Mountains National Park,70,Vascular Plant,"Slenderbeak Sedge, Slender-Beak Sedge",
Corylus americana,Bryce National Park,90,Vascular Plant,"American Hazel, American Hazelnut",
Apocynum cannabinum var. cannabinum,Bryce National Park,115,Vascular Plant,Indian Hemp,
Picea abies,Yellowstone National Park,280,Vascular Plant,Norway Spruce,
Scolochloa festucacea,Great Smoky Mountains National Park,64,Vascular Plant,"Common Rivergrass, Rivergrass",
Cynoglossum occidentale,Great Smoky Mountains National Park,75,Vascular Plant,Western Hound's Tongue,
Solidago,Bryce National Park,128,Vascular Plant,Goldenrod,
Crepis pulchra,Yosemite National Park,166,Vascular Plant,Hawk's Beard,
Centaurea cyanus,Yosemite National Park,140,Vascular Plant,"Batchelor's Button, Corn-Flower",
Centaurea cyanus,Yosemite National Park,140,Vascular Plant,"Bachelor's Button, Cornflower, Garden Cornflower",
Lupinus sericeus,Yosemite National Park,117,Vascular Plant,"Pursh's Silky Lupine, Silky Lupine",
